Brand,Model,Year of Manufacture,Transmission,Fuel Type,Engine Capacity (cc),Mileage (km),Price Rs.
Honda,Civic Fk6 SR,2019,Automatic,Petrol,1000,92000,"Rs. 12,800,000"
Toyota,Allion 240,2002,Automatic,Petrol,1500,188000,"Rs. 7,250,000"
Honda,Fit GP5,2014,Automatic,Hybrid,1500,118369,Negotiable
Toyota,Premio G Superior,2013,Automatic,Petrol,1500,134000,"Rs. 13,450,000"
Toyota,Aqua,2012,Automatic,Hybrid,1500,71000,"Rs. 7,275,000"
Volkswagen,1300,1972,Manual,Petrol,1300,500000,"Rs. 1,600,000"
Hyundai,Accent,2005,Automatic,Petrol,1500,-,Negotiable
Toyota,Vitz Safety,2016,Automatic,Petrol,1000,74288,"Rs. 8,000,000"
Mitsubishi,Lancer Box,1984,Manual,Petrol,1400,-,"Rs. 845,000"
Suzuki,Alto,2006,Manual,Petrol,800,140000,"Rs. 2,640,000"
Toyota,Aqua Gs,2014,Automatic,Hybrid,1500,128000,Negotiable
Hyundai,Accent,2005,Automatic,Petrol,1500,236000,"Rs. 2,690,000"
Mitsubishi,Lancer CK8A,1997,Automatic,Diesel,2000,200,"Rs. 3,450,000"
BMW,320D,2013,Automatic,Diesel,1990,107000,"Rs. 19,750,000"
Mercedes-Benz,E240W211,2003,Automatic,Petrol,2500,128,"Rs. 7,475,000"
Suzuki,Wagon R FX Safety,2024,Automatic,Petrol,660,3769,"Rs. 8,190,000"
Mitsubishi,Lancer Box,1984,Manual,Petrol,1400,-,"Rs. 845,000"
Suzuki,Alto,2006,Manual,Petrol,800,140000,"Rs. 2,640,000"
Toyota,Aqua Gs,2014,Automatic,Hybrid,1500,128000,Negotiable
Hyundai,Accent,2005,Automatic,Petrol,1500,236000,"Rs. 2,690,000"
BMW,520D E60,2006,Automatic,Diesel,1990,275,Negotiable
Suzuki,Alto Japan,2016,Automatic,Petrol,660,94500,"Rs. 5,450,000"
Toyota,Corolla Ke50,1980,Manual,Petrol,1400,-,"Rs. 365,000"
Daihatsu,Mira X Limited,2023,Automatic,Petrol,658,-,"Rs. 7,625,000"
Mitsubishi,Lancer Wagon,1981,Manual,Petrol,1400,1000,"Rs. 380,000"
Suzuki,Spacia,2018,Automatic,Petrol,650,90000,Negotiable
Suzuki,Alto,2004,Manual,Petrol,800,123,"Rs. 2,550,000"
Mitsubishi,Lancer Box,1981,Manual,Petrol,1400,235688,"Rs. 925,000"
Toyota,Corolla Dx KE72,1986,Manual,Petrol,1300,200000,Negotiable
Suzuki,Swift JAPAN,2008,Automatic,Petrol,1300,140000,"Rs. 6,500,000"
Honda,Grace EX,2016,Automatic,Hybrid,1500,104800,"Rs. 11,250,000"
Suzuki,Maruti,2010,Manual,Petrol,800,108000,Negotiable
Toyota,Passo,2016,Automatic,Petrol,1000,39000,"Rs. 7,190,000"
Suzuki,Alto Japan,2016,Automatic,Petrol,660,140000,Negotiable
Mitsubishi,COLT,2008,Automatic,Petrol,1300,140000,"Rs. 4,375,000"
Mazda,RX-8,2018,Automatic,Petrol,1300,-,"Rs. 6,200,000"
Toyota,Aqua,2014,Automatic,Petrol,1500,130000,"Rs. 7,500,000"
Daihatsu,TAFT G TURBO CHROME VENTURE,2023,Automatic,Petrol,660,7799,Negotiable
Honda,FIT GP1,2012,Automatic,Hybrid,1300,91500,Negotiable
Chevrolet,Cruze,2004,Automatic,Petrol,1300,1,"Rs. 4,225,000"
Toyota,PASSO,2015,Automatic,Petrol,1000,80000,"Rs. 6,575,000"
Micro,Panda 1.0,2013,Manual,Petrol,1000,82500,"Rs. 2,650,000"
Daihatsu,Boon Cilq Safety,2017,Automatic,Petrol,1000,91000,Negotiable
Toyota,Allion 260 G Grade,2009,Automatic,Petrol,1500,121000,"Rs. 9,875,000"
Suzuki,Maruti,2012,Manual,Petrol,800,43240,"Rs. 2,350,000"
Daihatsu,Tanto Custom,2015,Automatic,Petrol,660,30677,"Rs. 6,750,000"
Micro,Trend,2011,Manual,Petrol,1000,1,"Rs. 1,800,000"
Mitsubishi,Lancer Box 5fwd,1980,Manual,Petrol,1400,-,"Rs. 1,120,000"
Mitsubishi,C11,1985,Manual,Petrol,1300,-,Negotiable
Ford,Focus,2011,Automatic,Petrol,1500,174000,"Rs. 5,600,000"
Chery,QQ 308,2012,Manual,Petrol,800,78000,"Rs. 1,750,000"
Toyota,Vitz,2008,Automatic,Petrol,1000,190000,"Rs. 5,650,000"
Toyota,Duet,1999,Manual,Petrol,980,178550,"Rs. 2,650,000"
Toyota,Allion,2013,Automatic,Petrol,1500,166000,Negotiable
Volkswagen,VW 1200,1971,Manual,Petrol,1200,1,"Rs. 1,600,000"
Daihatsu,Mira Eis Safety,2024,Automatic,Petrol,660,-,"Rs. 7,250,000"
Mitsubishi,Lancer CK8A,1997,Automatic,Diesel,2000,200,"Rs. 3,450,000"
Daihatsu,Mira ES L,2023,Automatic,Petrol,660,Import,Negotiable
Honda,Fit Shuttle GP7,2018,Automatic,Petrol,1500,118350,"Rs. 13,250,000"
Mercedes-Benz,E200 Turbo AMG,2016,Automatic,Petrol,2000,86600,Negotiable
Toyota,Premio,2014,Automatic,Petrol,1500,208500,"Rs. 14,000,000"
Toyota,Aqua,2013,Automatic,Hybrid,1500,200000,"Rs. 7,550,000"
Nissan,FB14,1995,Manual,Petrol,1490,-,"Rs. 2,675,000"
Suzuki,Alto LXI,2016,Manual,Petrol,800,23500,Negotiable
Mitsubishi,Trodoa,1984,Manual,Petrol,1400,10,"Rs. 550,000"
Nissan,AD Wagon,1997,Automatic,Petrol,1490,125000,"Rs. 3,190,000(Ongoing Lease)"
Honda,Gd8,2008,Automatic,Petrol,1500,160000,"Rs. 4,715,000"
Toyota,Allion 260,2008,Automatic,Petrol,1500,146000,Negotiable
Toyota,Aqua X Urban,2015,Automatic,Hybrid,1500,108450,"Rs. 9,375,000"
Nissan,FB15 EX Saloon Eco Mode,2001,Automatic,Petrol,1500,210000,"Rs. 4,100,000"
Suzuki,WAGON R STINGRAY,2017,Automatic,Petrol,660,52000,"Rs. 7,495,000"
Toyota,Ceres,1996,Automatic,Petrol,1500,2,"Rs. 3,050,000"
Toyota,Prius,2017,Automatic,Hybrid,1800,71000,"Rs. 15,275,000"
Ford,Laser GHIA,1983,Manual,Petrol,1500,181939,"Rs. 675,000"
Toyota,Allion 260,2009,Automatic,Petrol,1500,198000,"Rs. 9,575,000"
Suzuki,Maruti,2012,Manual,Petrol,800,43000,"Rs. 2,575,000"
Mitsubishi,LANCER SL 5FWD,1982,Manual,Petrol,1400,100736,"Rs. 700,000"
Datsun,Redi-GO,2017,Manual,Petrol,800,100000,"Rs. 1,300,000(Ongoing Lease)"
Nissan,FB14,1995,Manual,Petrol,1500,254000,"Rs. 2,725,000"
Toyota,108,1997,Automatic,Diesel,2,140000,"Rs. 2,875,000"
Toyota,Premio G Superior,2007,Automatic,Petrol,1500,149000,Negotiable
Suzuki,Maruti,2004,Manual,Petrol,800,95000,Negotiable(Ongoing Lease)
Suzuki,Alto Lxi,2011,Manual,Petrol,800,112000,Negotiable
Toyota,Premio G Superior,2010,Automatic,Petrol,1490,151000,Negotiable
Toyota,Vitz Special Edition,2016,Automatic,Petrol,990,87000,"Rs. 7,985,000"
Honda,FIT Gp1 Sport Edition Navi Premium,2013,Automatic,Hybrid,1399,160,"Rs. 7,450,000"
Toyota,Axio Hybrid G Grade,2015,Automatic,Hybrid,1500,74800,Negotiable
Toyota,Premio G SUPERIOR,2013,Automatic,Petrol,1500,138000,"Rs. 13,750,000"
Toyota,Premio G Superior,2007,Automatic,Petrol,1500,195,"Rs. 9,590,000"
Opel,Omega,1994,Automatic,Petrol,1388,156355,"Rs. 1,375,000"
Toyota,Vitz Special Edition,2000,Automatic,Petrol,1300,211000,"Rs. 4,350,000"
Mazda,Axela,2016,Automatic,Hybrid,2000,98000,"Rs. 11,750,000"
Nissan,HB11 Long Buffer,1985,Manual,Petrol,1500,100000,"Rs. 1,090,000"
Mitsubishi,Galant,1983,Manual,Petrol,1600,234454,"Rs. 1,450,000"
Toyota,Prius,2013,Automatic,Petrol,-,165487,"Rs. 11,200,000"
Toyota,Carina AT150,1986,Manual,Petrol,210000,1450,"Rs. 1,050,000"
Toyota,Prius S Led,2013,Automatic,Hybrid,1800,169980,Negotiable
Honda,N WGN,2017,Automatic,Petrol,660,90290,Negotiable
Toyota,Prius S Led,2013,Automatic,Hybrid,1800,122490,Negotiable
Toyota,Aqua S Grade,2012,Automatic,Hybrid,1500,90452,Negotiable
Mercedes-Benz,E200 Turbo AMG,2016,Automatic,Petrol,2000,86600,Negotiable
Mercedes-Benz,E240W211,2003,Automatic,Petrol,2500,128,"Rs. 7,475,000"
BMW,320D,2013,Automatic,Diesel,1990,107000,"Rs. 19,750,000"
Fiat,Linea,2012,Manual,Diesel,1300,68000,"Rs. 2,950,000"
Toyota,Prius S Led,2013,Automatic,Hybrid,1800,122490,Negotiable
Toyota,Aqua S Grade,2012,Automatic,Hybrid,1500,90452,Negotiable
Suzuki,Alto,2011,Manual,Petrol,800,150000,"Rs. 3,000,000"
Toyota,Prius,2011,Automatic,Hybrid,1500,170000,Negotiable
Mercedes-Benz,W123,1983,Manual,Diesel,2000,415000,Negotiable
Nissan,Almera,2025,Automatic,Petrol,1000,-,"Rs. 14,300,000"
Toyota,Premio,2015,Automatic,Petrol,1500,110000,"Rs. 15,500,000"
Mitsubishi,Mitsubishi,1981,Manual,Petrol,1400,1111,"Rs. 535,000"
Mitsubishi,C11 A,1990,Manual,Petrol,1300,180000,"Rs. 1,045,000"
BMW,320I,2006,Automatic,Petrol,2000,212000,"Rs. 12,100,000"
Toyota,Vitz,2011,Automatic,Petrol,1000,110000,"Rs. 6,400,000"
Renault,Kwid,2016,Manual,Petrol,800,83105,"Rs. 3,425,000"
Nissan,FB15,2003,Automatic,Petrol,1500,189000,"Rs. 4,775,000"
Toyota,MARK 2 RX12,1973,Automatic,Petrol,3,100000,"Rs. 11,111,111"
Perodua,AXIA,2025,Automatic,Petrol,1000,-,"Rs. 8,250,000"
Toyota,Prius,2013,Automatic,Hybrid,1500,105000,"Rs. 11,750,000"
Peugeot,405glx,1995,Manual,Petrol,1600,131725,"Rs. 1,375,000"
Toyota,Allion 240,2003,Automatic,Petrol,1500,180000,"Rs. 7,000,000"
Suzuki,Wagon R FZ Premium,2018,Automatic,Petrol,-,90100,"Rs. 7,000,000"
Toyota,Aqua L Grade,2013,Automatic,Hybrid,1500,87000,"Rs. 7,600,000"
Mitsubishi,Lancer Flat Light,1975,Manual,Petrol,1400,186755,"Rs. 1,500,000"
Mercedes-Benz,C180,1994,Manual,Petrol,1800,187000,Negotiable
Toyota,Corolla AE100,1995,Manual,Petrol,1500,220000,"Rs. 3,000,000"
Nissan,WINGROAD VFY11,2003,Automatic,Petrol,1500,188000,"Rs. 3,565,000"
Toyota,AXIO,2015,Automatic,Hybrid,1500,154000,"Rs. 11,500,000"
Suzuki,Maruti,2005,Manual,Petrol,800,68000,"Rs. 1,850,000"
Mitsubishi,Ek Custom Safety,2018,Automatic,Petrol,650,69500,"Rs. 6,390,000"
Mazda,BG5P,1992,Manual,Petrol,1500,1000,"Rs. 550,000"
Suzuki,Wagon R Custom ZX,2024,Automatic,Hybrid,660,4300,"Rs. 10,500,000"
Kia,Rio,2015,Automatic,Petrol,1500,170000,"Rs. 7,700,000"
Toyota,Prius,2015,Automatic,Hybrid,1800,123000,"Rs. 12,375,000"
Toyota,Corona,1987,Manual,Diesel,-,123456,"Rs. 900,000"
Toyota,Vitz Edition 2,2018,Automatic,Petrol,1000,-,"Rs. 8,575,000"
Toyota,Starlet EP82,1995,Automatic,Petrol,1330,198500,"Rs. 3,225,000"
Toyota,Axio,2008,Automatic,Petrol,1500,198000,"Rs. 7,900,000"
Hyundai,Coupe,2000,Manual,Petrol,1600,123040,Negotiable
Audi,A3 Sedan S Tronic,2018,Automatic,Petrol,1000,116000,"Rs. 17,700,000"
Mercedes-Benz,CLA 200 AMG LINE,2019,Automatic,Petrol,1300,71000,Negotiable
Mazda,Axela,2003,Automatic,Petrol,1500,11111,Negotiable
Suzuki,Wagon R FX,2024,Automatic,Petrol,650,4500,Negotiable
Mercedes-Benz,E240W211,2003,Automatic,Petrol,2500,128,"Rs. 7,475,000"
Toyota,Allion 260 G,2007,Automatic,Petrol,1500,180000,"Rs. 9,400,000"
Honda,Civic,2018,Automatic,Petrol,1000,51000,"Rs. 14,000,000"
Suzuki,Wagon R FX,2023,Automatic,Petrol,660,7000,"Rs. 7,550,000"
Mercedes-Benz,CLA 200 AMG LINE,2019,Automatic,Petrol,1300,71000,Negotiable
Mazda,Axela,2003,Automatic,Petrol,1500,11111,Negotiable
Suzuki,Wagon R FX,2024,Automatic,Petrol,650,4500,Negotiable
Toyota,Prius S,2011,Automatic,Hybrid,1800,153000,"Rs. 9,875,000"
Toyota,COROLLA G GRADE,2007,Automatic,Petrol,1500,226150,"Rs. 6,485,000"
Honda,Fit Shuttle Gp2,2014,Automatic,Petrol,1300,49300,Negotiable
Mitsubishi,Attrage,2014,Automatic,Petrol,1200,134000,"Rs. 8,100,000"
Toyota,Carina,1998,Automatic,Diesel,1970,197000,"Rs. 4,300,000(Ongoing Lease)"
Micro,MR7,2009,Manual,Petrol,1000,122584,"Rs. 2,275,000"
Toyota,Elephant Back,1997,Automatic,Petrol,1500,250000,"Rs. 3,100,000"
Suzuki,Maruti 800,1995,Manual,Petrol,-,37000,"Rs. 1,430,000"
Toyota,Wigo,2018,Automatic,Petrol,1000,44000,"Rs. 6,950,000"
Perodua,Axia G,2015,Automatic,Petrol,-,105500,"Rs. 5,590,000"
Toyota,Axio WXB,2019,Automatic,Hybrid,1500,94000,Negotiable
Suzuki,Alto K10,2015,Automatic,Petrol,100,114000,"Rs. 4,350,000"
Mitsubishi,Lancer Box,1981,Manual,Petrol,1400,83265,Negotiable
Toyota,Yaris,2023,Automatic,Petrol,990,25000,"Rs. 10,690,000"
Toyota,Premio,2016,Automatic,Petrol,1500,106000,"Rs. 16,250,000"
Mitsubishi,Lancer Ck1,1997,Manual,Petrol,1300,195000,Negotiable
Suzuki,Wagon R Stingray Turbo,2023,Automatic,Hybrid,660,-,"Rs. 9,850,000"
Nissan,Wingroad Wfy11,2000,Automatic,Petrol,1500,240000,"Rs. 3,600,000"
Daihatsu,Boon Passo,2016,Automatic,Petrol,1000,60000,"Rs. 7,450,000"
Toyota,Allion 240,2002,Automatic,Petrol,1500,148900,"Rs. 6,800,000"
Nissan,Hb12,1986,Manual,Petrol,1500,15000,"Rs. 1,460,000"
Suzuki,Wagon R Stingray Turbo,2024,Automatic,Hybrid,660,3000,"Rs. 9,890,000"
Suzuki,Swift,2003,Automatic,Petrol,1300,176000,"Rs. 4,100,000"
Toyota,Axio,2015,Automatic,Hybrid,1500,114000,"Rs. 10,600,000"
Toyota,Belta,2008,Automatic,Petrol,1000,-,Negotiable
Suzuki,Wagon R Custom Zx Turbo,2023,Automatic,Hybrid,660,3000,"Rs. 9,775,000"
Nissan,FB14,1996,Manual,Petrol,1490,155338,"Rs. 2,875,000"
Toyota,Vitz Edition 1,2016,Automatic,Petrol,1000,30000,"Rs. 7,550,000"
Mitsubishi,LANCER BOX,1983,Manual,Petrol,1300,198000,"Rs. 825,000"
Toyota,Vitz Edition 2,2018,Automatic,Petrol,1000,93000,"Rs. 8,850,000"
Honda,City Pro,1987,Manual,Petrol,1300,-,"Rs. 890,000"
Honda,Fit GP1 Navi Premium,2012,Automatic,Hybrid,1330,116000,"Rs. 7,550,000"
Toyota,Starlet,1993,Automatic,Diesel,-,-,"Rs. 2,700,000"
Nissan,HB310 SGL,1984,Manual,Petrol,1400,11111,"Rs. 790,000"
Suzuki,Alto,2015,Manual,Petrol,800,126000,"Rs. 3,675,000"
Mitsubishi,Lancer Ex,2007,Automatic,Petrol,1500,129000,"Rs. 8,900,000"
Toyota,Avanza,2013,Manual,Petrol,1300,160000,"Rs. 9,200,000"
Suzuki,Wagon R FX,2023,Automatic,Petrol,660,7000,"Rs. 7,550,000"
Mercedes-Benz,E200 Turbo AMG,2016,Automatic,Petrol,2000,86600,Negotiable
Toyota,Allion 260 G,2007,Automatic,Petrol,1500,180000,"Rs. 9,400,000"
BMW,320D,2013,Automatic,Diesel,1990,107000,"Rs. 19,750,000"
Toyota,AXIO G GRADE,2015,Automatic,Hybrid,1500,142350,"Rs. 11,650,000"
Toyota,Allion 260,2016,Automatic,Petrol,1500,82998,"Rs. 15,950,000(Ongoing Lease)"
Suzuki,Swift,2003,Automatic,Petrol,1300,-,"Rs. 4,250,000"
Honda,Fit GP5 L Grade,2014,Automatic,Hybrid,1500,101055,"Rs. 8,600,000"
Toyota,Allion 240 Anniversary,2006,Automatic,Petrol,1500,190000,"Rs. 8,575,000"
Toyota,Prius S,2011,Automatic,Hybrid,1800,154000,"Rs. 9,975,000"
Suzuki,Swift Japan,2009,Automatic,Petrol,1300,109000,"Rs. 6,150,000"
Suzuki,WAGON R FZ PREMIUM,2019,Automatic,Petrol,658,73000,"Rs. 7,080,000"
Peugeot,406 ST,2001,Manual,Petrol,2000,200000,"Rs. 3,300,000"
Nissan,Sunny FB15,2001,Automatic,Diesel,2190,155000,"Rs. 4,100,000"
Suzuki,Alto,2016,Manual,Petrol,800,69000,"Rs. 4,050,000"
Suzuki,Wagon R,2015,Automatic,Hybrid,650,97000,"Rs. 5,730,000(Ongoing Lease)"
Toyota,AXIO WXB,2017,Automatic,Petrol,1500,124000,"Rs. 13,000,000"
Daihatsu,Charade,1985,Manual,Diesel,1000,478321,"Rs. 800,000"
Nissan,HB11,1995,Manual,Petrol,1500,-,Negotiable
Toyota,Grande Mark 2 GX110,2001,Automatic,Petrol,2000,175000,"Rs. 6,485,000"
Suzuki,Maruti,2011,Manual,Petrol,800,125000,"Rs. 2,140,000"
Hyundai,Accent,2003,Manual,Petrol,1600,151000,"Rs. 2,550,000"
Toyota,Aqua X Urban,2015,Automatic,Petrol,1500,128000,"Rs. 9,300,000"
Suzuki,WAGON R,2018,Automatic,Hybrid,660,83000,"Rs. 6,225,000"
Toyota,Prius,2008,Automatic,Hybrid,1500,138523,Negotiable
Chery,Yo Yo,2017,Manual,Petrol,1000,57235,"Rs. 3,195,000"
Toyota,Premio G Superior,2018,Automatic,Petrol,1500,72000,"Rs. 17,450,000"
Audi,A3,2018,Automatic,Petrol,1000,27500,"Rs. 15,250,000"
Mitsubishi,Lancer Wagon,1979,Manual,Petrol,1400,-,"Rs. 495,000"
Daewoo,Racer,1995,Manual,Petrol,-,-,"Rs. 875,000"
Suzuki,Wagon R FX,2017,Automatic,Petrol,650,115000,"Rs. 6,300,000"
Toyota,Aqua Gs,2014,Automatic,Hybrid,1500,120000,Negotiable
Suzuki,Alto 800,2016,Manual,Petrol,800,80000,Negotiable
Suzuki,Wagon R Fz,2014,Automatic,Hybrid,650,150000,"Rs. 5,500,000"
Toyota,Axio,2007,Automatic,Petrol,1500,170000,"Rs. 7,125,000"
Toyota,NZE121 X Grade,2003,Automatic,Petrol,1500,137000,"Rs. 6,450,000"
Honda,Fit Gp4,2012,Automatic,Hybrid,1500,130000,"Rs. 7,200,000"
BMW,320D,2000,Manual,Diesel,2000,133000,"Rs. 7,200,000"
Suzuki,Wagon R Stingray,2015,Automatic,Hybrid,650,49000,"Rs. 6,350,000"
Suzuki,Alto Japan,2017,Automatic,Petrol,660,141000,"Rs. 5,750,000"
Toyota,Corolla DX,2000,Manual,Petrol,1500,188000,"Rs. 3,595,000"
Micro,Trend,2010,Manual,Petrol,1075,61000,"Rs. 2,185,000"
Toyota,Prius,2013,Automatic,Hybrid,1500,155000,Negotiable
Toyota,Wigo,2017,Automatic,Petrol,1000,82500,"Rs. 6,875,000"
